Contiguous U.S. Average Temperature
Units: Degrees Fahrenheit
Base Period: 1895-2023
Missing: -99
Date,Value,Anomaly
196205,62.24,1.83
196206,67.91,-0.88
196207,72.07,-1.76
196208,72.12,-0.22
196209,64.18,-0.99
196210,56.12,1.91
196211,43.18,1.18
196212,33.40,0.35
196301,24.44,-6.15
196302,34.12,0.25
196303,43.72,1.92
196304,51.89,0.63
196305,61.02,0.61
196306,68.67,-0.12
196307,73.60,-0.23
196308,71.98,-0.36
196309,66.34,1.17
196310,59.36,5.15
196311,44.04,2.04
196312,27.90,-5.15
196401,31.53,0.94
196402,31.77,-2.10
196403,38.82,-2.98
196404,51.30,0.04
196405,61.43,1.02
196406,68.00,-0.79
196407,74.66,0.83
196408,70.72,-1.62
196409,63.70,-1.47
196410,53.78,-0.43
196411,42.33,0.33
196412,32.04,-1.01
196501,31.80,1.21
196502,32.52,-1.35
196503,35.44,-6.36
196504,51.89,0.63
196505,60.80,0.39
196506,66.85,-1.94
196507,72.61,-1.22
196508,71.06,-1.28
196509,61.77,-3.40
196510,54.99,0.78
196511,44.65,2.65
196512,35.85,2.80
196601,26.38,-4.21
196602,31.24,-2.63
196603,43.00,1.20
196604,49.96,-1.30
196605,60.19,-0.22
196606,67.93,-0.86
196607,75.07,1.24
196608,70.86,-1.48
196609,64.54,-0.63
196610,52.83,-1.38
196611,43.21,1.21
196612,32.68,-0.37
196701,33.10,2.51
196702,32.88,-0.99
196703,43.63,1.83
196704,51.01,-0.25
196705,57.63,-2.78
196706,67.55,-1.24
196707,72.52,-1.31
196708,71.22,-1.12
196709,64.06,-1.11
196710,53.92,-0.29
196711,41.54,-0.46
196712,32.07,-0.98
196801,28.94,-1.65
196802,32.92,-0.95
196803,43.56,1.76
196804,50.58,-0.68
196805,58.17,-2.24
196806,68.50,-0.29
196807,72.86,-0.97
196808,70.59,-1.75
196809,63.90,-1.27
196810,54.64,0.43
196811,41.14,-0.86
196812,30.04,-3.01
196901,29.37,-1.22
196902,32.81,-1.06
196903,36.03,-5.77
196904,52.63,1.37
196905,61.41,1.00
196906,66.83,-1.96
196907,74.10,0.27
196908,73.22,0.88
196909,65.55,0.38
196910,51.03,-3.18
196911,41.59,-0.41
196912,33.46,0.41
197001,27.14,-3.45
197002,35.35,1.48
197003,38.50,-3.30
197004,49.44,-1.82
197005,61.07,0.66
197006,68.74,-0.05
197007,73.96,0.13
197008,73.38,1.04
197009,64.58,-0.59
197010,52.27,-1.94
197011,41.31,-0.69
197012,33.58,0.53
197101,29.41,-1.18
197102,33.48,-0.39
197103,39.65,-2.15
197104,50.27,-0.99
197105,58.26,-2.15
197106,69.44,0.65
197107,72.36,-1.47
197108,72.01,-0.33
197109,64.33,-0.84
197110,55.08,0.87
197111,41.61,-0.39
197112,33.98,0.93
197201,29.93,-0.66
197202,33.55,-0.32
197203,44.04,2.24
197204,50.81,-0.45
197205,60.53,0.12
197206,68.22,-0.57
197207,72.18,-1.65
197208,71.67,-0.67
197209,64.44,-0.73
197210,52.29,-1.92
197211,38.93,-3.07
197212,29.86,-3.19
197301,29.59,-1.00
197302,33.58,-0.29
197303,44.29,2.49
197304,48.83,-2.43
197305,59.23,-1.18
197306,68.95,0.16
197307,73.26,-0.57
197308,72.61,0.27
197309,64.40,-0.77
197310,56.07,1.86
197311,42.93,0.93
197312,33.71,0.66
197401,31.01,0.42
197402,34.74,0.87
197403,44.38,2.58
197404,51.55,0.29
197405,60.37,-0.04
197406,68.49,-0.30
197407,74.08,0.25
197408,70.30,-2.04
197409,62.31,-2.86
197410,53.89,-0.32
197411,42.39,0.39
197412,33.66,0.61
197501,32.34,1.75
197502,32.76,-1.11
197503,38.70,-3.10
197504,46.85,-4.41
197505,60.35,-0.06
197506,67.51,-1.28
197507,73.56,-0.27
197508,71.53,-0.81
197509,62.89,-2.28
197510,54.63,0.42
197511,42.60,0.60
197512,34.29,1.24
197601,29.93,-0.66
197602,39.56,5.69
197603,42.31,0.51
197604,51.85,0.59
197605,59.04,-1.37
197606,67.80,-0.99
197607,72.90,-0.93
197608,70.66,-1.68
197609,64.18,-0.99
197610,50.00,-4.21
197611,38.48,-3.52
197612,30.92,-2.13
197701,23.09,-7.50
197702,36.03,2.16
197703,43.18,1.38
197704,54.07,2.81
197705,61.66,1.25
197706,70.34,1.55
197707,74.43,0.60
197708,71.78,-0.56
197709,65.93,0.76
197710,53.98,-0.23
197711,42.87,0.87
197712,33.28,0.23
197801,25.86,-4.73
197802,27.99,-5.88
197803,41.31,-0.49
197804,51.58,0.32
197805,59.74,-0.67
197806,68.94,0.15
197807,73.80,-0.03
197808,71.80,-0.54
197809,65.84,0.67
197810,54.41,0.20
197811,41.47,-0.53
197812,29.80,-3.25
197901,21.90,-8.69
197902,28.13,-5.74
197903,42.06,0.26
197904,50.14,-1.12
197905,59.13,-1.28
197906,67.82,-0.97
197907,73.13,-0.70
197908,70.97,-1.37
197909,66.09,0.92
197910,55.26,1.05
197911,39.94,-2.06
197912,36.03,2.98
198001,31.12,0.53
198002,32.85,-1.02
198003,39.36,-2.44
198004,51.44,0.18
198005,60.28,-0.13
198006,68.74,-0.05
198007,75.76,1.93
198008,72.79,0.45
198009,66.24,1.07
198010,52.59,-1.62
198011,42.31,0.31
198012,35.19,2.14
198101,32.41,1.82
198102,36.59,2.72
198103,42.85,1.05
198104,55.13,3.87
198105,58.96,-1.45
198106,69.82,1.03
198107,73.96,0.13
198108,72.10,-0.24
198109,64.92,-0.25
198110,52.32,-1.89
198111,44.74,2.74
198112,33.66,0.61
198201,26.22,-4.37
198202,32.59,-1.28
198203,42.03,0.23
198204,48.63,-2.63
198205,60.80,0.39
198206,66.33,-2.46
198207,73.20,-0.63
198208,72.09,-0.25
198209,64.04,-1.13
198210,53.26,-0.95
198211,41.13,-0.87
198212,35.82,2.77
198301,33.12,2.53
198302,36.86,2.99
198303,42.40,0.60
198304,47.01,-4.25
198305,57.94,-2.47
198306,67.10,-1.69
198307,73.99,0.16
198308,75.06,2.72
198309,65.59,0.42
198310,55.00,0.79
198311,43.03,1.03
